Id Marker Vertices Edges
112 0 74 8 71 195 196 197
113 1 124 69 57 328 173 198
114 0 72 70 74 199 200 201
115 0 54 72 53 152 202 156
116 0 73 53 74 175 203 204
117 0 52 70 72 159 199 163
118 0 53 72 74 202 201 203
119 1 112 71 58 296 205 206
120 0 8 74 70 195 200 194
121 0 71 73 74 206 204 197
122 1 140 76 140 374 208 111
123 1 140 75 35 372 208 209
124 0 0 76 75 98 209 210
125 1 125 80 39 331 212 211
126 1 92 38 19 241 122 114
127 1 90 78 19 235 65 121
128 0 57 81 83 172 214 215
129 1 136 82 2 360 217 216
130 0 39 80 78 211 39 69
131 0 80 79 81 213 219 191
132 1 143 68 81 381 192 174
133 0 83 81 79 214 219 220
134 1 125 79 125 333 212 213
135 1 136 79 136 362 217 218
136 0 60 86 88 178 223 224
137 1 135 87 3 357 226 225
138 1 113 73 85 298 161 33
139 0 85 84 86 160 228 188
140 0 86 67 10 180 187 189
141 0 88 86 84 223 228 229
142 1 114 84 114 302 162 161
143 1 135 84 135 359 226 227
144 2 89 55 47 232 233 9
145 3 118 47 118 312 234 9
146 2 90 78 11 235 236 38
147 2 90 56 19 237 237 121
148 2 91 15 41 238 239 19
149 2 91 41 38 240 240 2
150 2 92 38 77 241 242 116
151 2 92 77 19 243 243 114
152 2 93 34 32 244 245 103
153 2 93 62 48 246 246 102
154 2 94 73 10 247 248 175
155 2 94 59 53 249 249 32
156 2 95 61 55 250 251 11
157 3 96 89 55 252 253 139
158 2 96 55 50 254 254 232
159 2 97 68 11 255 256 155
160 2 97 11 52 257 257 153
161 2 98 40 51 258 259 120
162 2 99 52 72 260 261 119
163 2 99 72 51 262 262 119
164 2 100 62 47 263 264 146
165 2 100 49 48 265 265 145
166 2 101 12 29 266 267 84
167 2 101 27 48 268 268 82
168 2 102 63 67 269 270 190
169 2 102 86 60 271 271 166
170 2 103 25 6 272 273 79
171 2 103 6 29 274 274 90
172 2 104 33 23 275 276 89
173 2 105 23 31 277 278 5
174 2 105 31 28 279 279 3
175 3 110 40 110 292 280 149
176 3 107 90 78 282 283 237
177 2 107 80 11 284 284 237
178 2 108 51 4 285 286 120
179 2 108 4 40 287 287 6
180 2 109 45 40 288 289 126
181 3 110 56 40 290 291 149
182 4 110 40 106 292 292 64
183 2 111 68 70 293 294 36
184 2 111 70 69 295 295 35
185 2 112 71 73 296 297 207
186 2 113 73 58 298 299 205
187 2 114 85 84 300 301 160
188 2 114 84 58 302 302 160
189 2 115 42 21 303 304 45
190 2 115 22 12 305 305 44
191 2 116 51 4 306 307 7
192 2 117 4 50 308 309 8
193 3 118 0 47 310 311 9
